报文名称,报文类型,报文ID,报文发送类型,报文周期时间,子ID,报文长度,位,信号长度,信号名称(英文),信号名称(中文)
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,2.2-2.3,2,Storage_Box_Lighting_Function_S,储物箱照明灯功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,2.4-2.5,2,Hard_Wired_Lights_S,硬线控制防盗指示灯工作
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,2.6-2.7,2,Cls_Atmtcly_Atmtcly_Lock_S,靠近自动解锁，离开自动闭锁
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,3.0-3.1,2,Crd_Wlce_Mode_Slctn_S,迎宾灯主动寻卡方式的选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,3.2-3.3,2,Airbag_Hd_Le_Pulse_Aqistin_S,安全气囊硬线脉冲采集
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,3.4-3.5,2,Left_Right_Backdoorlight_Ctrl_S,左右后门灯控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,3.6-3.7,2,Four_Locks_Motors_Start_Time_S,四门锁电机驱动时间
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,4.0-4.1,2,Emitting_Function_S,主副驾驶安全带扣发光功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,4.2-4.3,2,High_Voltage_Drive_Functions_S,0V制动灯开关采集采用16mA高驱动电流
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,4.4-4.5,2,Chip_Enable_2_33879_S,2#33879芯片使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,4.6-4.7,2,Gear_Signal_Telegram_Selection_S,档位信号报文选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,5.0-5.1,2,Electric_Vchle_Charge_Fnctn_S,电动车充电功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,5.2-5.3,2,Remotely_Piloted_Alarm_S,遥控驾驶报警提示
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,5.4-5.5,2,Hardware_Port_Configuration_S,车型BCM硬件端口配置
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,5.6-5.7,2,Unlock_Set_Initial_Value_S,解锁设置初始值
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,6.0-6.1,2,Unlock_Set_Enable_S,解锁设置使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,6.2-6.3,2,Automatic_Door_Latch_Enable_S,门自动落锁（超速闭锁）使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,6.4-6.5,2,Pre_Pistribution_S,预配电使能（在多媒体模块移到此处）
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,6.6-6.7,2,Cllision_Signal_Lkig_Fnctin_S,硬线碰撞信号锁止功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,7.0-7.1,2,Hdbrake_Sgl_Dtrmntn_S,手刹信号判断
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,7.2,1,LH_Seat_Adjust_S,左侧座椅调节功能是否可用
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,7.3,1,RH_Seat_Adjust_S,右侧座椅调节功能是否可用
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,7.4-7.6,3,TV_Up_Down_Request_Command_496_S,电视升降请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,7.7,1,Left_B_pillar_tuyere_physical_switch_signal_S,左侧B柱风口实体按键信号
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,8.0-8.3,4,steering_Wheel_Request_496_S,方向盘请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,8.4-8.7,4,Passenger_Seat_Request_496_S,副驾座椅请求命令
Left_BCM_0x496,Normal,0x496,Event,100,Multiplexor,8,1.0-1.7,8,Child_ID_0x496_S,子ID_0x496
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,2,1,Shield_Start_Button_Request_Command_496_S,屏蔽启动按钮请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,2.1-2.5,5,Sunroof_Blind_Request_Command_496_S,天窗遮阳帘请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,2.6-2.7,2,Second_Row_Lock_Request_Instruction_496_S,二排锁请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,3.0-3.4,5,window_Request_Command_496_S,车窗请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,3.5-3.7,3,Gear_Shielding_Request_Command_496_S,挡位屏蔽请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,4.0-4.2,3,indoor_Light_Request_Command_496_S,室内灯请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,4.3-4.7,5,atmosphere_Light_Request_Command_496_S,氛围灯请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,5.0-5.4,5,exterior_Light_Request_Command_496_S,车外灯光请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,5.5-5.6,2,door_Lock_Request_Command_496_S,门锁请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,5.7,1,automatic_Wiper_Shile_Req_Comm_496_S,自动雨刮屏蔽请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,6.0-6.4,5,seat_Request_Command_496_S,座椅请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,6.5-6.7,3,Air_conditioning_request_command_496_S,空调请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,7.0-7.3,4,armrest_Sreen_Status_Request_Command_496_S,扶手屏状态请求
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,7.4-7.7,4,rear_Panel_Status_Request_Command_496_S,后排面板状态请求
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,8.0-8.3,4,meter_Request_Command_496_S,仪表请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x04,8,8.4-8.7,4,HUD_Request_Command_496_S,HUD请求指令
Left_BCM_0x496,Normal,0x496,Event,100,Multiplexor,8,1.0-1.7,8,Child_ID_0x496_S,子ID_0x496
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,2.0-2.1,2,Secondary_Storage_Box_Request_S,副驾储物盒请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,2.2-2.4,3,Hard_Button_On_The_Steering_Wheel_Request_S,方向盘硬按键请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,2.5-2.7,3,Hard_Button_On_The_Control_Panel_Request_S,中控面板硬按键请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,3.0-3.1,2,Front_Luggage_Request_S,前舱行李箱请求指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,3.2,1,Projection_Mode_Request_S,投影模式请求
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,3.3-3.5,3,Driving_Mode_control_Command_496_S,驾驶模式控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,3.6-3.7,2,Reasons_For_Flushing_Withdrawal_S,冲洗功能退出原因
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,4.0-4.3,4,Gear_shift_Control_S,档位切换控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,4.4,1,Toolkit_MCS_w_Stats_S,工具包微动开关状态
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,4.5,1,Toolkit_Configuration_S,工具包配置
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,4.6-4.7,2,Toolkit_Lock_Status_S,工具包门锁状态
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,5.0-5.2,3,Left_Second_Row_Mode_496_S,二排左侧座椅模式
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,5.3-5.5,3,Right_Second_Row_Mode_496_S,二排右侧座椅模式
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,6.0-6.2,3,Back_Row_Window_Sunshade_Control_Command_496_S,后排侧窗遮阳帘控制指令
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,6.3-6.4,2,OHS_Cmd_S,顶置屏控制信号
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x05,8,8.5-8.7,3,Cabin_Speed_Limit_S,整车车速限制
